1608561301|2|213.87.134.214|Mozilla/5.0 (Linux; Android 10; SM-T515) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.99 Safari/537.36|https://yandex.ru/|RU|Россия|Москва|Mobile TeleSystems|—|214.gprs.mts.ru
1608561365|3|31.173.81.245|Mozilla/5.0 (Linux; Android 8.1.0; Redmi 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.110 Mobile Safari/537.36|https://topfastcasino1.xyz/deposit/neteller/|RU|Россия|Москва|MegaFon-Moscow|—|—
1608561371|11|46.53.244.16|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|—|BY|Беларусь|Минск|Unitary enterprise A1|—|cgn-pool-mni-46-53-244-16.telecom.by
1608561382|2|178.176.73.207|Mozilla/5.0 (Linux; U; Android 6.0.1; ru-ru; Redmi 4 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.141 Mobile Safari/537.36 XiaoMi/MiuiBrowser/12.2.6-g|https://yandex.ru/|RU|Россия|Москва|PJSC MegaFon|—|—
1608561395|2|31.173.83.153|Mozilla/5.0 (Linux; Android 8.1.0) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/68.0.3440.91 Mobile DuckDuckGo/5 Safari/537.36|https://yandex.ru/|RU|Россия|Москва|MegaFon-Moscow|—|—
1608561406|3|31.173.81.245|Mozilla/5.0 (Linux; Android 9; JAT-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.99 Mobile Safari/537.36|https://topfastcasino1.xyz/top-10-kazino/|RU|Россия|Москва|MegaFon-Moscow|—|—
1608561417|2|178.176.73.81|Mozilla/5.0 (Linux; Android 7.0; SM-A510F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Mobile Safari/537.36 OPR/59.1.2926.54067|https://yandex.ru/|RU|Россия|Москва|PJSC MegaFon|—|—
1608561425|2|213.87.151.143|Chrome 74|https://yandex.ru/search/?text=%D1%80%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3%20%D0%BA%D0%B0%D0%B7%D0%B8%D0%BD%D0%BE&lr=213&p=2|RU|Россия|Москва|Mobile TeleSystems|—|143.mtsnet.ru
1608561434|2|188.170.77.101|Mozilla/5.0 (Linux; Android 7.1.2; Redmi 5 Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36|https://yandex.ru/|RU|Россия|Санкт-Петербург|MegaFon|—|—
1608561438|2|31.173.84.103|Mozilla/5.0 (Linux; Android 10; Redmi Note 9S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Mobile Safari/537.36|https://yandex.ru/|RU|Россия|Москва|MegaFon-Moscow|—|—
1608561456|2|91.193.178.227|Mozilla/5.0 (Linux; Android 6.0; A8 MAX) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.127 Mobile Safari/537.36|https://yandex.ru/|RU|Россия|Москва|Public Joint Stock Company "Vimpel-Communications"|—|—
1608561456|11|46.53.244.16|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|—|BY|Беларусь|Минск|Unitary enterprise A1|—|cgn-pool-mni-46-53-244-16.telecom.by
1608561470|2|188.170.77.101|Mozilla/5.0 (Linux; Android 8.0.0; PRA-TL10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.116 Mobile Safari/537.36|https://yandex.ru/|RU|Россия|Санкт-Петербург|MegaFon|—|—
1608561471|2|91.193.176.111|Mozilla/5.0 (Linux; U; Android 10; ru-ru; Mi Note 10 Build/QKQ1.190825.002) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.141 Mobile Safari/537.36 XiaoMi/MiuiBrowser/12.6.6-gn|https://yandex.ru/|RU|Россия|Москва|Public Joint Stock Company "Vimpel-Communications"|—|—
1608561478|2|178.176.73.81|Mozilla/5.0 (Linux; Android 9; Redmi Note 8 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.127 Mobile Safari/537.36|https://yandex.ru/|RU|Россия|Москва|PJSC MegaFon|—|—
1608561481|5|5.45.207.77|Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)|—|RU|Россия|Москва|Yandex LLC|—|5-45-207-77.spider.yandex.com
1608561484|3|91.193.176.111|Mozilla/5.0 (Linux; arm_64; Android 10; COL-L29) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 YaApp_Android/20.90.0 YaSearchBrowser/20.90.0 BroPP/1.0 SA/3 Mobile Safari/537.36|https://topfastcasino1.xyz/|RU|Россия|Москва|Public Joint Stock Company "Vimpel-Communications"|—|—
1608561486|2|213.87.157.165|Mozilla/5.0 (Linux; Android 7.1.2; Redmi 4X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Mobile Safari/537.36|https://yandex.ru/|RU|Россия|Москва|Mobile TeleSystems|—|165.mtsnet.ru
1608561498|2|83.220.237.193|Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.111 Mobile Safari/537.36|https://yandex.ru/|RU|Россия|Москва|OJSC "VimpelCom"|—|—
1608561503|3|213.87.144.225|Mozilla/5.0 (Linux; Android 9; Redmi Note 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.185 Mobile Safari/537.36|https://topfastcasino1.xyz/|RU|Россия|Москва|Mobile TeleSystems|—|225.mtsnet.ru
1608561503|5|5.255.253.162|Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)|—|RU|Россия|Москва|Yandex LLC|—|5-255-253-162.spider.yandex.com
1608561510|2|213.87.135.187|Mozilla/5.0 (Linux; Android 7.0; Lenovo TB-7304I Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/73.0.3683.90 Safari/537.36 YandexSearch/6.45/apad|https://yandex.ru/|RU|Россия|Москва|Mobile TeleSystems|—|187.gprs.mts.ru
1608561534|3|31.173.81.245|Mozilla/5.0 (Linux; Android 10; RMX2020) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Mobile Safari/537.36|https://topfastcasino1.xyz/top-10-kazino/|RU|Россия|Москва|MegaFon-Moscow|—|—
